mutation,tenure,population,time,cost
1,10000,100,4860.84190458803,1928
1,100000,100,4939.574362140843,1822
1,250000,100,4850.876786314792,1812
1,10000,500,20113.88620078183,51366
1,100000,500,20376.50623763205,50477
1,250000,500,20543.42448560508,48451
1,10000,1000,40495.83875914456,192148
1,100000,1000,40360.19380273597,190406
1,250000,1000,40131.37770747419,195547
2,10000,100,3720.8938658811953,2023
2,100000,100,3646.2048526350623,2044
2,250000,100,3698.9375714625394,2016
2,10000,500,13971.452413531151,52334
2,100000,500,14346.10195571624,47817
2,250000,500,14077.163620654128,52072
2,10000,1000,27945.687189259836,193416
2,100000,1000,27839.691193998497,193811
2,250000,1000,27263.56821989183,203395
